_pd_block_id	_refln_index_h	_refln_index_k	_refln_index_l	_pd_refln_phase_id	_refln_d_spacing	_diffrn_radiation_wavelength
pattern_1	2	0	14	1	0.846294	0.8257653
pattern_1	3	-1	-14	1	0.797379	0.8257653
pattern_1	3	-1	-11	1	0.941306	0.8257653
pattern_1	3	-1	-8	1	1.124371	0.8257653
pattern_1	3	-1	-5	1	1.336274	0.8257653
pattern_1	3	-1	-2	1	1.515059	0.8257653
pattern_1	3	-1	1	1	1.546933	0.8257653
pattern_1	3	-1	4	1	1.404799	0.8257653
pattern_1	3	-1	7	1	1.193381	0.8257653
pattern_1	3	-1	10	1	0.997896	0.8257653
pattern_1	3	-1	13	1	0.841294	0.8257653
pattern_1	3	0	-12	1	0.850481	0.8257653
pattern_1	3	0	-6	1	1.160221	0.8257653
pattern_1	3	0	0	1	1.374038	0.8257653
pattern_1	3	0	6	1	1.160221	0.8257653
pattern_1	3	0	12	1	0.850481	0.8257653
pattern_1	4	-2	0	1	1.189952	0.8257653
pattern_1	4	-2	3	1	1.147437	0.8257653
pattern_1	4	-2	6	1	1.042892	0.8257653
pattern_1	4	-2	9	1	0.918262	0.8257653
pattern_1	4	-2	12	1	0.800879	0.8257653
pattern_1	4	-1	-10	1	0.858335	0.8257653
pattern_1	4	-1	-7	1	0.973455	0.8257653
pattern_1	4	-1	-4	1	1.078431	0.8257653
pattern_1	4	-1	-1	1	1.138869	0.8257653
pattern_1	4	-1	2	1	1.125969	0.8257653
pattern_1	4	-1	5	1	1.046482	0.8257653
pattern_1	4	-1	8	1	0.934898	0.8257653
pattern_1	4	-1	11	1	0.821522	0.8257653
pattern_1	4	0	-8	1	0.870166	0.8257653
pattern_1	4	0	-2	1	1.017805	0.8257653
pattern_1	4	0	4	1	0.982287	0.8257653
pattern_1	4	0	10	1	0.807427	0.8257653
pattern_1	5	-2	-8	1	0.817252	0.8257653
pattern_1	5	-2	-5	1	0.888670	0.8257653
pattern_1	5	-2	-2	1	0.935816	0.8257653
pattern_1	5	-2	1	1	0.943183	0.8257653
pattern_1	5	-2	4	1	0.907986	0.8257653
pattern_1	5	-2	7	1	0.842633	0.8257653
pattern_1	5	-2	10	1	0.764620	0.8257653
pattern_1	5	-1	-9	1	0.763466	0.8257653
pattern_1	5	-1	-6	1	0.830712	0.8257653
pattern_1	5	-1	-3	1	0.880727	0.8257653
pattern_1	5	-1	0	1	0.899519	0.8257653
pattern_1	5	-1	3	1	0.880727	0.8257653
pattern_1	5	-1	6	1	0.830712	0.8257653
pattern_1	5	-1	9	1	0.763466	0.8257653
pattern_1	5	0	-4	1	0.799091	0.8257653
pattern_1	5	0	2	1	0.817865	0.8257653
pattern_1	6	-3	0	1	0.793301	0.8257653
pattern_1	6	-3	3	1	0.780321	0.8257653
pattern_1	6	-2	-1	1	0.777610	0.8257653
pattern_1	6	-2	2	1	0.773466	0.8257653
pattern_1	1	1	1	2	3.135791	0.8257653
pattern_1	2	2	0	2	1.920272	0.8257653
pattern_1	2	2	2	2	1.567895	0.8257653
pattern_1	3	1	1	2	1.637613	0.8257653
pattern_1	3	3	1	2	1.246037	0.8257653
pattern_1	3	3	3	2	1.045264	0.8257653
pattern_1	4	0	0	2	1.357837	0.8257653
pattern_1	4	2	2	2	1.108670	0.8257653
pattern_1	4	4	0	2	0.960136	0.8257653
pattern_1	4	4	2	2	0.905225	0.8257653
pattern_1	4	4	4	2	0.783948	0.8257653
pattern_1	5	1	1	2	1.045264	0.8257653
pattern_1	5	3	1	2	0.918066	0.8257653
pattern_1	5	3	3	2	0.828273	0.8257653
pattern_1	6	2	0	2	0.858772	0.8257653
pattern_1	6	2	2	2	0.818807	0.8257653
pattern_2	0	0	6	1	2.165942	0.8257653
pattern_2	0	0	12	1	1.082971	0.8257653
pattern_2	1	0	-14	1	0.905588	0.8257653
pattern_2	1	0	-8	1	1.511356	0.8257653
pattern_2	1	0	-2	1	3.481058	0.8257653
pattern_2	1	0	4	1	2.551744	0.8257653
pattern_2	1	0	10	1	1.239441	0.8257653
pattern_2	1	0	16	1	0.796909	0.8257653
pattern_2	2	-1	0	1	2.380164	0.8257653
pattern_2	2	-1	3	1	2.086020	0.8257653
pattern_2	2	-1	6	1	1.601945	0.8257653
pattern_2	2	-1	9	1	1.234542	0.8257653
pattern_2	2	-1	12	1	0.985732	0.8257653
pattern_2	2	-1	15	1	0.814120	0.8257653
pattern_2	2	0	-10	1	1.099321	0.8257653
pattern_2	2	0	-4	1	1.740529	0.8257653
pattern_2	2	0	2	1	1.964791	0.8257653
pattern_2	2	0	8	1	1.275872	0.8257653
pattern_2	2	0	14	1	0.846396	0.8257653
pattern_2	3	-1	-14	1	0.797474	0.8257653
pattern_2	3	-1	-11	1	0.941417	0.8257653
pattern_2	3	-1	-8	1	1.124501	0.8257653
pattern_2	3	-1	-5	1	1.336425	0.8257653
pattern_2	3	-1	-2	1	1.515226	0.8257653
pattern_2	3	-1	1	1	1.547102	0.8257653
pattern_2	3	-1	4	1	1.404956	0.8257653
pattern_2	3	-1	7	1	1.193518	0.8257653
pattern_2	3	-1	10	1	0.998014	0.8257653
pattern_2	3	-1	13	1	0.841394	0.8257653
pattern_2	3	0	-12	1	0.850581	0.8257653
pattern_2	3	0	-6	1	1.160353	0.8257653
pattern_2	3	0	0	1	1.374188	0.8257653
pattern_2	3	0	6	1	1.160353	0.8257653
pattern_2	3	0	12	1	0.850581	0.8257653
pattern_2	4	-2	0	1	1.190082	0.8257653
pattern_2	4	-2	3	1	1.147564	0.8257653
pattern_2	4	-2	6	1	1.043010	0.8257653
pattern_2	4	-2	9	1	0.918368	0.8257653
pattern_2	4	-2	12	1	0.800972	0.8257653
pattern_2	4	-1	-10	1	0.858434	0.8257653
pattern_2	4	-1	-7	1	0.973566	0.8257653
pattern_2	4	-1	-4	1	1.078551	0.8257653
