angle	SFsq	LP	TF	A	P	Pstar	S
6.0	40.412064811029154	363.5935477210121	0.9988457281134961	1.0	14676.605645209529	0.0	1.0
6.02	40.404016326108255	361.173970446845	0.9988380317104235	1.0	14575.922535849782	2.0817127572884252E-6	1.0
6.04	40.39594460950771	358.77838924232316	0.9988303098494319	1.0	14476.239395060033	4.171277184440023E-6	1.0
6.06	40.387849694125016	356.40648785212716	0.9988225625320536	1.0	14377.54304756855	6.268702515748359E-6	1.0
6.08	40.379731612927515	354.0579552139356	0.9988147897598258	1.0	14279.820534435976	8.373998016548943E-6	1.0
6.1	40.37159039895207	351.73248535643637	0.998806991534291	1.0	14183.059108806614	1.0487172983223643E-5	1.0
6.12	40.36342608530486	349.4297772996655	0.9987991678569963	1.0	14087.24623175674	1.2608236743204776E-5	1.0
6.14	40.3552387051608	347.14953495761677	0.9987913187294941	1.0	13992.369568237373	1.4737198654980783E-5	1.0
6.16	40.347028291763415	344.8914670430584	0.9987834441533416	1.0	13898.416983109113	1.6874068108101395E-5	1.0
6.18	40.338794878424366	342.65528697450594	0.9987755441301015	1.0	13805.376537266751	1.9018854523181104E-5	1.0
6.2	40.33053849852322	340.4407127852886	0.9987676186613409	1.0	13713.236483851111	2.117156735190552E-5	1.0
6.22	40.32225918550699	338.2474670346629	0.9987596677486323	1.0	13621.985264546134	2.3332216077035055E-5	1.0
6.24	40.31395697288986	336.0752767209132	0.9987516913935532	1.0	13531.61150595879	2.5500810212411484E-5	1.0
6.26	40.30563189425284	333.92387319639715	0.998743689597686	1.0	13442.104016079978	2.767735930296102E-5	1.0
6.28	40.29728398324348	331.7929920844772	0.9987356623626183	1.0	13353.451780824042	2.9861872924700464E-5	1.0
6.3	40.28891327357539	329.6823731982995	0.9987276096899425	1.0	13265.643960645148	3.205436068474223E-5	1.0
6.32	40.280519799027964	327.5917604613658	0.998719531581256	1.0	13178.66988722846	3.42548322212995E-5	1.0
6.34	40.272103593446126	325.520901829859	0.9987114280381617	1.0	13092.51906025434	3.646329720369023E-5	1.0
6.36	40.263664690739844	323.4695492166738	0.9987032990622668	1.0	13007.18114423354	3.867976533234386E-5	1.0
6.38	40.255203124883906	321.4374584171131	0.9986951446551842	1.0	12922.645965411843	4.0904246338805176E-5	1.0
6.4	40.24671892991746	319.4243890362069	0.9986869648185311	1.0	12838.903508742242	4.3136749985740404E-5	1.0
6.42	40.2382121399438	317.43010441761345	0.9986787595539305	1.0	12755.943914923091	4.537728606694157E-5	1.0
6.44	40.22968278912989	315.4543715740638	0.9986705288630098	1.0	12673.757477500492	4.762586440733277E-5	1.0
6.46	40.22113091170612	313.49696111931155	0.9986622727474017	1.0	12592.334640033441	4.9882494862974215E-5	1.0
6.48	40.212556541965945	311.55764720154957	0.9986539912087439	1.0	12511.66599332006	5.2147187321068745E-5	1.0
6.5	40.20395971426547	309.6362074382612	0.998645684248679	1.0	12431.742272683558	5.4419951699965974E-5	1.0
6.52	40.19534046302321	307.7324228524641	0.9986373518688548	1.0	12352.554355316282	5.670079794916872E-5	1.0
6.54	40.18669882271964	305.84607781032076	0.9986289940709239	1.0	12274.093257680628	5.8989736049337976E-5	1.0
6.5600000000000005	40.178034827896965	303.97695996007633	0.998620610856544	1.0	12196.350132965294	6.128677601229795E-5	1.0
6.58	40.169348513158646	302.1248601722945	0.9986122022273779	1.0	12119.316268595578	6.35919278810414E-5	1.0
6.6	40.16063991316912	300.28957248135794	0.9986037681850933	1.0	12042.983083796362	6.590520172973688E-5	1.0
6.62	40.151909062653544	298.4708940282057	0.998595308731363	1.0	11967.342127206679	6.82266076637314E-5	1.0
6.64	40.14315599639724	296.6686250042752	0.9985868238678647	1.0	11892.385074544343	7.055615581955849E-5	1.0
6.66	40.134380749245494	294.88256859662096	0.9985783135962811	1.0	11818.103726319723	7.289385636494256E-5	1.0
6.68	40.12558335610328	293.11253093418185	0.9985697779183001	1.0	11744.490005597323	7.523971949880373E-5	1.0
6.7	40.116763851934664	291.3583210351692	0.9985612168356144	1.0	11671.535955803987	7.759375545126559E-5	1.0
6.72	40.107922271762746	289.61975075554983	0.9985526303499219	1.0	11599.233738582847	7.995597448365869E-5	1.0
6.74	40.09905865066906	287.89663473859724	0.9985440184629253	1.0	11527.575631691623	8.232638688852829E-5	1.0
6.76	40.09017302379344	286.18879036548634	0.9985353811763323	1.0	11456.554026944545	8.470500298963741E-5	1.0
6.78	40.08126542633345	284.4960377069063	0.998526718491856	1.0	11386.161428196534	8.709183314197578E-5	1.0
